"c.0L..1L..2L..3L..4L..5L..6L..7L..8L..9L..10L..11L..12L..13L.." "c.51.0456..52.0305..54.075..56.0468..58.1134..57.0829..61.0952.."
"883" 16 61.0311
"884" 17 64.0947
"885" 18 69.0621
"886" 19 71.0515
"887" 20 72.0824
"888" 21 76.0584
"889" 22 76.1892
"890" 23 78.0989
"891" 24 81.0921
"892" 25 83.1847
"893" 0 41.0327
"894" 1 43.036
"895" 2 43.0126
"896" 3 45.0258
"897" 4 47.0403
"898" 5 49.0507
"899" 6 50.0684
"900" 7 52.0668
"901" 8 52.0148
"902" 9 52.0148
"903" 10 55.0912
"904" 11 55.0565
"905" 12 58.042
"906" 13 58.0392
"907" 14 62.078
"908" 15 64.0305
"909" 16 66.0691
"910" 17 69.0572
"911" 18 72.1228
"912" 19 74.1244
"913" 20 76.0684
"914" 0 40.0386
"915" 1 41.0495
"916" 2 43.1267
"917" 3 43.0355
"918" 4 45.0507
"919" 5 47.1311
"920" 6 49.0792
"921" 7 49.0988
"922" 8 50.0544
"923" 9 50.0507
"924" 10 54.0503
"925" 11 55.0543
"926" 12 57.0418
"927" 13 59.1297
"928" 14 60.1067
"929" 15 61.0737
"930" 16 64.0521
"931" 17 66.0454
"932" 18 70.0621
"933" 0 37.0364
"934" 1 37.0519
"935" 2 38.0784
"936" 3 38.0234
"937" 4 40.05
"938" 5 42.0299
"939" 6 43.0879
"940" 7 45.0573
"941" 8 47.0511
"942" 9 48.0654
"943" 10 49.0377
"944" 11 52.08
"945" 12 52.0564
"946" 13 54.0497
"947" 14 56.0161
"948" 15 58.0281
"949" 16 60.117
"950" 17 61.0233
"951" 18 61.0233
"952" 19 66.0369
"953" 20 68.0906
"954" 21 69.0829
"955" 22 73.0481
"956" 23 75.0943
"957" 24 78.1042
"958" 25 80.0571
"959" 0 44.0099
"960" 1 46.0492
"961" 2 46.0492
"962" 3 48.0339
"963" 4 50.0393
"964" 5 51.0495
"965" 6 53.0581
"966" 7 55.1039
"967" 8 57.0538
"968" 9 59.0825
"969" 10 61.0553
"970" 11 60.1388
"971" 12 64.0701
"972" 13 64.0701
"973" 14 66.0913
"974" 15 69.0865
"975" 16 70.0387
"976" 17 74.0415
"977" 18 76.1058
"978" 19 79.0455
"979" 0 39.0424
"980" 1 43.1081
"981" 2 43.0528
"982" 3 44.0489
"983" 4 47.134
"984" 5 49.0704
"985" 6 50.0678
"986" 7 52.1437
"987" 8 52.1029
"988" 9 55.036
"989" 10 57.0434
"990" 11 56.0443
"991" 12 60.053
"992" 13 61.1284
"993" 14 64.1579
"994" 15 66.1647
"995" 16 68.0366
"996" 17 70.0545
"997" 18 72.1407
"998" 19 74.0644
"999" 20 77.0602
"1000" 21 81.1776
"1001" 22 82.0542
"1002" 23 87.0393
"1003" 24 89.0855
"1004" 25 93.2776
"1005" 26 97.1795
"1006" 27 101.135
"1007" 28 0
"1008" 0 53.0942
"1009" 1 55.0348
"1010" 2 56.074
"1011" 3 58.0579
"1012" 4 59.1251
"1013" 5 63.0718
"1014" 6 64.0656
"1015" 7 67.0941
"1016" 8 69.1611
"1017" 9 71.1241
"1018" 10 72.2024
"1019" 11 76.1021
"1020" 12 80.0674
"1021" 13 82.0614
"1022" 0 43.0566
"1023" 1 44.0159
"1024" 2 46.088
"1025" 3 48.0659
"1026" 4 50.0707
"1027" 5 50.0738
"1028" 6 53.058
"1029" 7 55.075
"1030" 8 56.0725
"1031" 9 55.0436
"1032" 10 58.0395
"1033" 11 61.1508
"1034" 12 62.0409
"1035" 13 63.1194
"1036" 14 67.0365
"1037" 15 69.0346
"1038" 16 68.1827
"1039" 17 74.0494
"1040" 18 76.1271
"1041" 19 79.08
"1042" 20 80.0905
"1043" 21 84.1277
"1044" 22 87.149
"1045" 23 91.1038
"1046" 24 93.1178
"1047" 25 96.0731
"1048" 26 99.3063
"1049" 27 100.162
"1050" 28 105.052
"1051" 29 107.114
"1052" 30 110.203
"1053" 0 61.0593
"1054" 1 61.0634
"1055" 2 63.1506
"1056" 3 67.03
"1057" 4 69.0498
"1058" 5 71.0309
"1059" 6 75.0264
"1060" 7 77.0831
"1061" 8 79.1869
"1062" 9 81.1195
"1063" 10 84.196
"1064" 0 43.0217
"1065" 1 44.0245
"1066" 2 46.0428
"1067" 3 49.0314
"1068" 4 48.0466
"1069" 5 50.0135
"1070" 6 51.0347
"1071" 7 53.0324
"1072" 8 56.0209
"1073" 9 55.0543
"1074" 10 58.0113
"1075" 11 60.0456
"1076" 12 62.0527
"1077" 13 63.0616
"1078" 14 66.0241
"1079" 15 68.061
"1080" 16 70.0622
"1081" 17 74.0693
"1082" 18 74.0693
"1083" 19 78.0651
"1084" 0 41.0136
"1085" 1 43.0467
"1086" 2 44.0196
"1087" 3 46.0773
"1088" 4 48.0391
"1089" 5 50.1074
"1090" 6 50.1033
"1091" 7 53.1295
"1092" 8 53.0449
"1093" 9 55.0376
"1094" 10 57.0692
"1095" 11 59.0827
"1096" 12 60.0845
"1097" 13 63.0664
"1098" 14 63.0561
"1099" 15 67.2344
"1100" 16 67.0522
"1101" 17 70.1568
"1102" 18 72.0856
"1103" 19 75.1546
"1104" 20 79.1237
"1105" 21 81.1582
"1106" 22 86.1122
"1107" 23 88.073
"1108" 0 46.0797
"1109" 1 48.0525
"1110" 2 50.0903
"1111" 3 53.1632
"1112" 4 53.144
"1113" 5 57.1692
"1114" 6 58.0955
"1115" 7 58.1018
"1116" 8 61.1844
"1117" 9 62.152
"1118" 10 65.1082
"1119" 11 66.0548
"1120" 12 68.141
"1121" 13 70.0753
"1122" 14 72.0984
"1123" 15 75.1627
"1124" 16 75.1627
"1125" 17 80.1292
"1126" 18 83.135
"1127" 19 87.0973
"1128" 0 42.0817
"1129" 1 43.0353
"1130" 2 45.0348
"1131" 3 46.0384
"1132" 4 45.0301
"1133" 5 48.0626
"1134" 6 49.022
"1135" 7 51.0437
"1136" 8 52.0648
"1137" 9 54.2128
"1138" 10 54.0425
"1139" 11 58.1376
"1140" 12 58.0356
"1141" 13 59.0668
"1142" 14 62.0873
"1143" 15 63.0424
"1144" 16 65.0448
"1145" 17 67.0987
"1146" 18 69.1302
"1147" 19 72.0792
"1148" 20 74.1108
"1149" 0 40.1189
"1150" 1 40.027
"1151" 2 42.0378
"1152" 3 44.0405
"1153" 4 43.067
"1154" 5 47.1468
"1155" 6 47.1001
"1156" 7 48.0537
"1157" 8 51.0593
"1158" 9 52.0638
"1159" 10 55.0552
"1160" 11 55.0552
"1161" 12 59.0962
"1162" 13 61.1256
"1163" 14 63.1388
"1164" 15 62.1304
"1165" 16 66.1163
"1166" 17 69.145
"1167" 18 72.1033
"1168" 0 38.0881
"1169" 1 39.1032
"1170" 2 41.0224
"1171" 3 43.0443
"1172" 4 44.0771
"1173" 5 45.0574
"1174" 6 46.0568
"1175" 7 47.0776
"1176" 8 49.0854
"1177" 9 51.2344
"1178" 10 52.1043
"1179" 11 53.0383
"1180" 12 56.1471
"1181" 13 58.1325
"1182" 14 60.095
"1183" 15 63.1122
"1184" 16 66.0978
"1185" 17 66.0626
"1186" 18 68.1011
"1187" 19 73.138
"1188" 20 75.1234
"1189" 21 77.0557
"1190" 0 38.017
"1191" 1 39.024
"1192" 2 41.0145
"1193" 3 41.0228
"1194" 4 44.0998
"1195" 5 45.0461
"1196" 6 46.0141
"1197" 7 48.0181
"1198" 8 48.0247
"1199" 9 50.015
"1200" 10 53.0357
"1201" 11 55.0302
"1202" 12 55.0216
"1203" 13 57.0332
"1204" 14 59.0261
"1205" 15 61.0715
"1206" 16 62.0281
"1207" 17 64.0402
"1208" 18 65.1253
"1209" 19 69.0522
"1210" 20 72.1258
"1211" 21 73.0644
"1212" 22 76.223
"1213" 23 78.0873
"1214" 0 40.0491
"1215" 1 39.0293
"1216" 2 42.0515
"1217" 3 43.1234
"1218" 4 45.0296
"1219" 5 45.0229
"1220" 6 47.0742
"1221" 7 47.0336
"1222" 8 49.016
"1223" 9 51.0385
"1224" 10 53.056
"1225" 11 55.0994
"1226" 12 55.1193
"1227" 13 58.0423
"1228" 14 59.0726
"1229" 15 59.2052
"1230" 16 63.0801
"1231" 17 65.0571
"1232" 18 66.0508
"1233" 19 71.0396
"1234" 0 37.0864
"1235" 1 37.012
"1236" 2 39.0196
"1237" 3 40.0089
